Wavelength,Intensity
396.6,0.19555555555555557
397.94,0.24555555555555555
399.28,0.24185185185185185
400.62,0.2844444444444445
401.96,0.3177777777777777
403.29999999999995,0.2825925925925926
404.64,0.26962962962962966
405.98,0.3122222222222222
407.32,0.35851851851851846
408.65999999999997,0.3011111111111111
410.0,0.37888888888888883
411.34000000000003,0.36962962962962964
412.67999999999995,0.32333333333333336
414.02,0.39370370370370367
415.36,0.4696296296296296
416.7,0.47703703703703704
418.03999999999996,0.514074074074074
419.38,0.552962962962963
420.72,0.5418518518518518
422.06,0.5918518518518519
423.4,0.6344444444444444
424.74,0.7362962962962962
426.08,0.8566666666666667
427.41999999999996,0.9770370370370369
428.76,1.1992592592592592
430.1,1.338148148148148
431.44,1.6196296296296295
432.78,2.0233333333333334
434.12,2.4992592592592593
435.46,3.0196296296296294
436.8,3.7585185185185184
438.14,4.432592592592592
439.48,5.343703703703704
440.82,6.230740740740741
442.15999999999997,7.1974074074074075
443.5,8.184444444444445
444.84,9.31962962962963
446.18,10.462222222222222
447.52,11.475185185185186
448.86,12.362222222222222
450.2,13.227037037037038
451.53999999999996,14.108518518518519
452.88,14.82148148148148
454.22,15.562222222222223
455.56,16.006666666666668
456.9,16.428888888888892
458.24,16.956666666666667
459.58,17.015925925925927
460.92,17.354814814814816
462.26,17.291851851851852
463.6,17.384444444444448
464.94,17.312222222222225
466.28,17.102962962962966
467.62,16.791851851851852
468.96,16.71962962962963
470.3,16.20851851851852
471.64,15.536296296296296
472.98,14.952962962962962
474.32,14.24925925925926
475.65999999999997,13.965925925925927
477.0,13.364074074074074
478.34,12.556666666666667
479.68,11.575185185185186
481.02,10.545555555555556
482.36,9.491851851851852
483.7,8.671481481481482
485.04,7.7085185185185185
486.38,7.04
487.72,6.3714814814814815
489.06,5.699259259259259
490.4,5.171481481481481
491.74,4.393703703703704
493.08,3.930740740740741
494.42,3.428888888888889
495.76,2.89
497.1,2.504814814814815
498.44,2.127037037037037
499.78,1.9196296296296298
501.12,1.6492592592592592
502.46,1.5585185185185184
503.8,1.39
505.14,1.3029629629629629
506.48,1.1511111111111112
507.82,1.1455555555555554
509.15999999999997,1.0455555555555556
510.5,0.9992592592592593
511.84,0.8011111111111111
513.18,0.7696296296296296
514.52,0.6418518518518518
515.86,0.5881481481481481
517.2,0.47518518518518515
518.54,0.4622222222222222
519.88,0.41222222222222216
521.22,0.39740740740740743
522.56,0.3548148148148148
523.9,0.3548148148148148
525.24,0.3474074074074074
526.58,0.3196296296296296
527.92,0.2825925925925926
529.26,0.28814814814814815
530.6,0.24925925925925926
531.94,0.23814814814814814
533.28,0.24185185185185185
534.62,0.24740740740740744
535.96,0.19555555555555557
537.3,0.20296296296296298
538.64,0.19555555555555557
539.98,0.2066666666666667
541.32,0.19000000000000003
542.66,0.18444444444444444
544.0,0.1733333333333333
545.34,0.16962962962962966
546.68,0.1733333333333333
