Wavelength,Intensity
376.5,9.054074074074073
378.17499999999995,10.081851851851852
379.85,11.470740740740741
381.525,12.957777777777777
383.2,14.572592592592592
384.875,16.13
386.54999999999995,17.983703703703704
388.225,19.907777777777778
389.9,22.455925925925925
391.575,24.70777777777778
393.25,27.21333333333333
394.92499999999995,30.06888888888889
396.6,32.970740740740744
398.275,35.91148148148149
399.95,38.64296296296297
401.625,41.41148148148149
403.29999999999995,44.13
404.975,46.81888888888889
406.65,49.268888888888895
408.325,51.40777777777778
410.0,53.44481481481482
411.67499999999995,55.20037037037037
413.35,56.933703703703706
415.025,58.18740740740741
416.7,59.48555555555556
418.375,60.54666666666667
420.05,61.43185185185185
421.725,61.98555555555556
423.4,62.602222222222224
425.075,63.10962962962964
426.75,63.45962962962963
428.425,63.537407407407414
430.1,63.54851851851852
431.775,62.918888888888894
433.45,62.07814814814815
435.125,61.2337037037037
436.8,60.168888888888894
438.475,58.68555555555556
440.15,56.833703703703705
441.825,55.122592592592596
443.5,53.14296296296297
445.175,51.09481481481482
446.85,49.141111111111115
448.525,47.03555555555556
450.2,44.94666666666667
451.875,42.95777777777778
453.55,41.074444444444445
455.225,39.14666666666667
456.9,37.43
458.575,35.91703703703704
460.25,34.791111111111114
461.925,33.67814814814815
463.6,32.88
465.275,32.36333333333334
466.95,31.987407407407407
468.625,31.76703703703704
470.3,31.670740740740744
471.975,31.65962962962963
473.65,31.59851851851852
475.325,32.03
477.0,32.36518518518519
478.675,32.404074074074074
480.35,32.913333333333334
482.025,33.418888888888894
483.7,34.05037037037037
485.375,34.254074074074076
487.05,34.9725925925926
488.725,35.38370370370371
490.4,36.03370370370371
492.075,36.30777777777778
493.75,36.70592592592593
495.425,36.724444444444444
497.1,36.622592592592596
498.775,36.30962962962963
500.45,36.11703703703704
502.125,35.74296296296296
503.8,35.70962962962963
505.475,36.23555555555556
507.15,37.013333333333335
508.825,37.78
510.5,38.67259259259259
512.175,39.45037037037037
513.85,40.4262962962963
515.525,40.90592592592593
517.2,41.64851851851852
518.875,42.36333333333334
520.55,42.815185185185186
522.225,43.20962962962963
523.9,43.70407407407408
525.575,44.083703703703705
527.25,44.48555555555556
528.925,44.53370370370371
530.6,44.89851851851852
532.275,45.19481481481482
533.95,45.10962962962963
535.625,45.25777777777778
537.3,45.08740740740741
538.975,45.11703703703704
540.65,44.94111111111111
542.325,44.885555555555555
544.0,44.768888888888895
545.675,44.54481481481482
547.35,44.2337037037037
549.025,44.022592592592595
550.7,43.78740740740741
552.375,43.650370370370375
554.05,43.54296296296297
555.725,43.15592592592593
557.4,42.833703703703705
559.075,42.58740740740741
560.75,42.2225925925926
562.425,41.952222222222225
564.1,41.635555555555555
565.775,41.20407407407408
567.45,40.95592592592593
569.125,40.74296296296296
570.8,40.18555555555556
572.475,39.84481481481482
574.15,39.352222222222224
575.825,38.970740740740744
577.5,38.320740740740746
579.175,37.85962962962963
580.85,37.31333333333334
582.525,36.78
584.2,36.42444444444445
585.875,37.650370370370375
587.55,40.96703703703704
589.225,43.772592592592595
590.9,46.81333333333334
592.575,49.065185185185186
594.25,51.20962962962963
595.925,53.18925925925926
597.6,54.68925925925926
599.275,56.315185185185186
600.95,57.291111111111114
602.625,57.92259259259259
604.3,58.38925925925926
605.975,58.74666666666667
607.65,58.64851851851852
609.325,58.54481481481482
611.0,58.45592592592593
612.675,57.89666666666667
614.35,57.11518518518519
616.025,56.38740740740741
617.7,55.49851851851852
619.375,54.51518518518519
621.05,53.44666666666667
622.725,52.50777777777778
624.4,51.391111111111115
626.075,50.04296296296297
627.75,48.461481481481485
629.425,47.61333333333334
631.1,46.46518518518519
632.775,45.17259259259259
634.45,43.80222222222223
636.125,42.28
637.8,41.38370370370371
639.475,40.24111111111112
641.15,39.339259259259265
642.825,38.53370370370371
644.5,37.102222222222224
646.175,36.0762962962963
647.85,35.4725925925926
649.525,34.20037037037037
651.2,33.55407407407408
652.875,32.46888888888889
654.55,31.76703703703704
656.225,30.546666666666667
657.9,30.14296296296296
659.575,29.302222222222223
661.25,28.539259259259257
662.925,27.744814814814813
664.6,27.16148148148148
666.275,26.026296296296294
667.95,25.141111111111112
669.625,24.45037037037037
671.3,23.552222222222223
672.975,22.55037037037037
674.65,21.576296296296295
676.325,20.728148148148147
678.0,19.76888888888889
679.675,18.887407407407405
681.35,17.94111111111111
683.025,17.057777777777776
684.7,16.033703703703704
686.375,15.139259259259259
688.05,14.274444444444445
689.725,13.085555555555555
691.4,12.157777777777778
693.075,11.12074074074074
694.75,10.002222222222223
696.425,9.117037037037036
698.1,7.963333333333333
699.775,6.981851851851852
701.45,5.93
703.125,5.046666666666667
704.8,4.167037037037037
706.475,3.4818518518518515
708.15,3.204074074074074
709.825,2.654074074074074
711.5,2.3466666666666667
713.175,1.9466666666666668
714.85,1.5114814814814812
716.525,1.402222222222222
718.2,1.1022222222222222
719.875,1.052222222222222
721.55,0.8281481481481481
723.225,0.8485185185185184
724.9,0.6670370370370369
726.575,0.567037037037037
728.25,0.4874074074074073
729.925,0.4966666666666666
731.6,0.37629629629629613
733.275,0.44851851851851854
734.95,0.3966666666666665
736.625,0.29296296296296287
738.3,0.3188888888888888
739.975,0.19851851851851854
741.65,0.1299999999999999
743.325,0.11148148148148151
